Word,Reading,Meaning (JP / EN / CN),Example Sentence
目方,Mekata,"(JP) 物の重さ、重量 (EN) Weight (CN) 重量，分量",小包の目方を量る。
切れ目,Kireme,"(JP) 物事の区切り (EN) Break, Pause (CN) 段落，间隙",話の切れ目に口を挟む。
切れ目,Kireme,"(JP) 切った裂け目 (EN) Slit, Cut (CN) 裂缝，切口",ソーセージに切れ目を入れる。
目先,Mesaki,"(JP) すぐ目の前、近い将来 (EN) Immediate, Near future (CN) 目前，眼前",目先の利益にとらわれる。
大目,Oome,"(JP) 寛大に扱うこと (EN) Overlook, Tolerate (CN) 宽恕，原谅",今回の失敗は大目に見てやろう。
家主,Yanushi,"(JP) 家の持ち主 (EN) Landlord, Owner (CN) 房东，户主",家主に家賃を払う。
大家,Ooya,"(JP) 貸家の持ち主 (EN) Landlord, Landlady (CN) 房东",大家さんは親切な人だ。
大家,Taika,"(JP) その道で特に優れた人 (EN) Master, Authority (CN) 大家，大师",彼は書道の大家だ。
万人,Bannin,"(JP) 全ての人、多くの人 (EN) All people (CN) 万人，众人",万人向きの製品。
人目,Hitome,"(JP) 他人の見る目 (EN) Public eye, Attention (CN) 别人的视线",派手な服で人目につく。
進出,Shinshutsu,"(JP) 活動を広げること (EN) Advance, Expansion (CN) 进入，打入",海外市場に進出する。
行進,Koushin,"(JP) 列を作って進むこと (EN) March, Parade (CN) 行进，游行",選手団が入場行進する。
先着,Senchaku,"(JP) 先に到着すること (EN) First arrival (CN) 先到",先着100名にプレゼントがある。
先方,Senpou,"(JP) 相手の方、相手側 (EN) The other party (CN) 对方",先方と交渉する。
先行,Senkou,"(JP) 他より先に行くこと (EN) Preceding, Leading (CN) 先行，领先",時代を先行するデザイン。
