Word,Reading,Meaning (English),Meaning (Japanese),Meaning (Chinese),Example Question
寝かせる,ねかせる,"to put to sleep, to lay down, to let ferment",眠らせる、横にする、熟成させる,哄…睡觉、使躺下、使…发酵,赤ちゃんを寝かせるのに苦労しましたか？
震わせる,ふるわせる,"to make shake, to tremble",震えさせる、振動させる,使颤动、使发抖,寒さで体を震わせる子犬を見ましたか？
値する,あたいする,"to be worth, to deserve",価値がある,值得、相当,この本は一読に値すると思いますか？
称する,しょうする,"to call oneself, to pretend to be",名乗る、称する,称为、自称,彼は専門家と称していますが、本当でしょうか？
制する,せいする,"to control, to restrain, to get the better of",支配する、抑える、制圧する,控制、制止、制胜,はやる気持ちを制して冷静になれますか？
脱する,だっする,"to escape from, to get out of",抜け出す、脱出する,脱离、摆脱,危機的状況を脱する方法は見つかりましたか？
徹する,てっする,"to devote oneself to, to do intentley",貫く、徹底する、専念する,贯彻、专心致志,今回は裏方に徹するつもりですか？
面する,めんする,"to face, to border on",向かう、面している,面向、面临,そのホテルは海に面していますか？
案じる,あんじる,"to worry, to be anxious",心配する、気遣う,担心、挂念,両親はあなたの健康を案じていますか？
重んじる,おもんじる,"to respect, to value, to esteem",重要視する、重く見る,重视、注重,形式よりも実質を重んじるべきですか？
興じる,きょうじる,"to amuse oneself, to make merry",楽しむ、面白がる,兴致勃勃地做…、嬉戏,子供たちがゲームに興じている姿を見ましたか？
準じる,じゅんじる,"to follow, to conform to",従う、準拠する,以…为标准、准照,待遇は正社員に準じるということですか？
